Year,Month,Carrier,Carrier Name,Type,Number of Flights
2003,6,AA,American Airlines Inc.,Carrier Delay,31.63
2003,6,AA,American Airlines Inc.,Other Delay,83.37
2003,6,AA,American Airlines Inc.,On Time,502
2003,6,AS,Alaska Airlines Inc.,Carrier Delay,27.47
2003,6,AS,Alaska Airlines Inc.,Other Delay,32.53
2003,6,AS,Alaska Airlines Inc.,On Time,313
2003,6,B6,JetBlue Airways,Carrier Delay,0
2003,6,B6,JetBlue Airways,Other Delay,0
2003,6,B6,JetBlue Airways,On Time,5
2003,6,CO,Continental Air Lines Inc.,Carrier Delay,11.66
2003,6,CO,Continental Air Lines Inc.,Other Delay,40.34
2003,6,CO,Continental Air Lines Inc.,On Time,204
2003,6,DL,Delta Air Lines Inc.,Carrier Delay,18.12
2003,6,DL,Delta Air Lines Inc.,Other Delay,100.88
2003,6,DL,Delta Air Lines Inc.,On Time,327
2003,6,HP,America West Airlines Inc.,Carrier Delay,24.55
2003,6,HP,America West Airlines Inc.,Other Delay,13.45
2003,6,HP,America West Airlines Inc.,On Time,322
2003,6,MQ,American Eagle Airlines Inc.,Carrier Delay,49.99
2003,6,MQ,American Eagle Airlines Inc.,Other Delay,57.01
2003,6,MQ,American Eagle Airlines Inc.,On Time,695
2003,6,NW,Northwest Airlines Inc.,Carrier Delay,21.27
2003,6,NW,Northwest Airlines Inc.,Other Delay,31.73
2003,6,NW,Northwest Airlines Inc.,On Time,157
2003,6,OO,SkyWest Airlines Inc.,Carrier Delay,18
2003,6,OO,SkyWest Airlines Inc.,Other Delay,9
2003,6,OO,SkyWest Airlines Inc.,On Time,598
2003,6,UA,United Air Lines Inc.,Carrier Delay,24.06
2003,6,UA,United Air Lines Inc.,Other Delay,79.94
2003,6,UA,United Air Lines Inc.,On Time,554
2003,6,US,US Airways Inc.,Carrier Delay,17.54
2003,6,US,US Airways Inc.,Other Delay,61.46
2003,6,US,US Airways Inc.,On Time,113
2003,6,WN,Southwest Airlines Co.,Carrier Delay,79.32
2003,6,WN,Southwest Airlines Co.,Other Delay,218.68
2003,6,WN,Southwest Airlines Co.,On Time,2009
2003,7,AA,American Airlines Inc.,Carrier Delay,41.14
2003,7,AA,American Airlines Inc.,Other Delay,71.86
2003,7,AA,American Airlines Inc.,On Time,523
2003,7,AS,Alaska Airlines Inc.,Carrier Delay,34.18
2003,7,AS,Alaska Airlines Inc.,Other Delay,56.82
2003,7,AS,Alaska Airlines Inc.,On Time,304
2003,7,B6,JetBlue Airways,Carrier Delay,0.3
2003,7,B6,JetBlue Airways,Other Delay,5.7
2003,7,B6,JetBlue Airways,On Time,43
2003,7,CO,Continental Air Lines Inc.,Carrier Delay,13.11
2003,7,CO,Continental Air Lines Inc.,Other Delay,37.89
2003,7,CO,Continental Air Lines Inc.,On Time,222
2003,7,DL,Delta Air Lines Inc.,Carrier Delay,15.44
2003,7,DL,Delta Air Lines Inc.,Other Delay,46.56
2003,7,DL,Delta Air Lines Inc.,On Time,384
2003,7,HP,America West Airlines Inc.,Carrier Delay,26.26
2003,7,HP,America West Airlines Inc.,Other Delay,30.74
2003,7,HP,America West Airlines Inc.,On Time,315
2003,7,MQ,American Eagle Airlines Inc.,Carrier Delay,41.13
2003,7,MQ,American Eagle Airlines Inc.,Other Delay,62.87
2003,7,MQ,American Eagle Airlines Inc.,On Time,751
2003,7,NW,Northwest Airlines Inc.,Carrier Delay,23.7
2003,7,NW,Northwest Airlines Inc.,Other Delay,15.3
2003,7,NW,Northwest Airlines Inc.,On Time,178
2003,7,OO,SkyWest Airlines Inc.,Carrier Delay,27
2003,7,OO,SkyWest Airlines Inc.,Other Delay,26
2003,7,OO,SkyWest Airlines Inc.,On Time,579
2003,7,UA,United Air Lines Inc.,Carrier Delay,35.73
2003,7,UA,United Air Lines Inc.,Other Delay,84.27
2003,7,UA,United Air Lines Inc.,On Time,576
2003,7,US,US Airways Inc.,Carrier Delay,23.96
2003,7,US,US Airways Inc.,Other Delay,54.04
2003,7,US,US Airways Inc.,On Time,133
2003,7,WN,Southwest Airlines Co.,Carrier Delay,100.32
2003,7,WN,Southwest Airlines Co.,Other Delay,280.68
2003,7,WN,Southwest Airlines Co.,On Time,2014
2003,8,AA,American Airlines Inc.,Carrier Delay,32.83
2003,8,AA,American Airlines Inc.,Other Delay,86.17
2003,8,AA,American Airlines Inc.,On Time,518
2003,8,AS,Alaska Airlines Inc.,Carrier Delay,40.93
2003,8,AS,Alaska Airlines Inc.,Other Delay,58.07
2003,8,AS,Alaska Airlines Inc.,On Time,293
2003,8,B6,JetBlue Airways,Carrier Delay,6.52
2003,8,B6,JetBlue Airways,Other Delay,4.48
2003,8,B6,JetBlue Airways,On Time,51
2003,8,CO,Continental Air Lines Inc.,Carrier Delay,13.34
2003,8,CO,Continental Air Lines Inc.,Other Delay,31.66
2003,8,CO,Continental Air Lines Inc.,On Time,223
2003,8,DL,Delta Air Lines Inc.,Carrier Delay,34.13
2003,8,DL,Delta Air Lines Inc.,Other Delay,46.87
2003,8,DL,Delta Air Lines Inc.,On Time,379
2003,8,HP,America West Airlines Inc.,Carrier Delay,32.5
2003,8,HP,America West Airlines Inc.,Other Delay,29.5
2003,8,HP,America West Airlines Inc.,On Time,310
2003,8,MQ,American Eagle Airlines Inc.,Carrier Delay,30.37
2003,8,MQ,American Eagle Airlines Inc.,Other Delay,32.63
2003,8,MQ,American Eagle Airlines Inc.,On Time,793
2003,8,NW,Northwest Airlines Inc.,Carrier Delay,18.97
2003,8,NW,Northwest Airlines Inc.,Other Delay,19.03
2003,8,NW,Northwest Airlines Inc.,On Time,179
2003,8,OO,SkyWest Airlines Inc.,Carrier Delay,19
2003,8,OO,SkyWest Airlines Inc.,Other Delay,14
2003,8,OO,SkyWest Airlines Inc.,On Time,597
2003,8,UA,United Air Lines Inc.,Carrier Delay,30.42
2003,8,UA,United Air Lines Inc.,Other Delay,87.58
2003,8,UA,United Air Lines Inc.,On Time,573
2003,8,US,US Airways Inc.,Carrier Delay,16.7
2003,8,US,US Airways Inc.,Other Delay,49.3
2003,8,US,US Airways Inc.,On Time,145
2003,8,WN,Southwest Airlines Co.,Carrier Delay,99.19
2003,8,WN,Southwest Airlines Co.,Other Delay,227.81
2003,8,WN,Southwest Airlines Co.,On Time,2076
2003,9,AA,American Airlines Inc.,Carrier Delay,19.19
2003,9,AA,American Airlines Inc.,Other Delay,31.81
2003,9,AA,American Airlines Inc.,On Time,559
2003,9,AS,Alaska Airlines Inc.,Carrier Delay,20.83
2003,9,AS,Alaska Airlines Inc.,Other Delay,8.17
2003,9,AS,Alaska Airlines Inc.,On Time,325
2003,9,B6,JetBlue Airways,Carrier Delay,2.15
2003,9,B6,JetBlue Airways,Other Delay,3.85
2003,9,B6,JetBlue Airways,On Time,82
2003,9,CO,Continental Air Lines Inc.,Carrier Delay,6.97
2003,9,CO,Continental Air Lines Inc.,Other Delay,26.03
2003,9,CO,Continental Air Lines Inc.,On Time,196
2003,9,DL,Delta Air Lines Inc.,Carrier Delay,14.32
2003,9,DL,Delta Air Lines Inc.,Other Delay,54.68
2003,9,DL,Delta Air Lines Inc.,On Time,376
2003,9,HP,America West Airlines Inc.,Carrier Delay,24.89
2003,9,HP,America West Airlines Inc.,Other Delay,21.11
2003,9,HP,America West Airlines Inc.,On Time,284
2003,9,MQ,American Eagle Airlines Inc.,Carrier Delay,26.97
2003,9,MQ,American Eagle Airlines Inc.,Other Delay,23.03
2003,9,MQ,American Eagle Airlines Inc.,On Time,828
2003,9,NW,Northwest Airlines Inc.,Carrier Delay,8.52
2003,9,NW,Northwest Airlines Inc.,Other Delay,16.48
2003,9,NW,Northwest Airlines Inc.,On Time,156
2003,9,OO,SkyWest Airlines Inc.,Carrier Delay,20
2003,9,OO,SkyWest Airlines Inc.,Other Delay,11
2003,9,OO,SkyWest Airlines Inc.,On Time,588
2003,9,UA,United Air Lines Inc.,Carrier Delay,16.16
2003,9,UA,United Air Lines Inc.,Other Delay,26.84
2003,9,UA,United Air Lines Inc.,On Time,579
2003,9,US,US Airways Inc.,Carrier Delay,3.82
2003,9,US,US Airways Inc.,Other Delay,19.18
2003,9,US,US Airways Inc.,On Time,152
2003,9,WN,Southwest Airlines Co.,Carrier Delay,62.55
2003,9,WN,Southwest Airlines Co.,Other Delay,115.45
2003,9,WN,Southwest Airlines Co.,On Time,2179
2003,10,AA,American Airlines Inc.,Carrier Delay,13.31
2003,10,AA,American Airlines Inc.,Other Delay,45.69
2003,10,AA,American Airlines Inc.,On Time,603
2003,10,AS,Alaska Airlines Inc.,Carrier Delay,23.08
2003,10,AS,Alaska Airlines Inc.,Other Delay,40.92
2003,10,AS,Alaska Airlines Inc.,On Time,289
2003,10,B6,JetBlue Airways,Carrier Delay,0
2003,10,B6,JetBlue Airways,Other Delay,1
2003,10,B6,JetBlue Airways,On Time,92
2003,10,CO,Continental Air Lines Inc.,Carrier Delay,3.53
2003,10,CO,Continental Air Lines Inc.,Other Delay,16.47
2003,10,CO,Continental Air Lines Inc.,On Time,215
2003,10,DL,Delta Air Lines Inc.,Carrier Delay,15.53
2003,10,DL,Delta Air Lines Inc.,Other Delay,42.47
2003,10,DL,Delta Air Lines Inc.,On Time,401
2003,10,HP,America West Airlines Inc.,Carrier Delay,18.06
2003,10,HP,America West Airlines Inc.,Other Delay,26.94
2003,10,HP,America West Airlines Inc.,On Time,292
2003,10,MQ,American Eagle Airlines Inc.,Carrier Delay,25.38
2003,10,MQ,American Eagle Airlines Inc.,Other Delay,78.62
2003,10,MQ,American Eagle Airlines Inc.,On Time,841
2003,10,NW,Northwest Airlines Inc.,Carrier Delay,8.89
2003,10,NW,Northwest Airlines Inc.,Other Delay,25.11
2003,10,NW,Northwest Airlines Inc.,On Time,152
2003,10,OO,SkyWest Airlines Inc.,Carrier Delay,28
2003,10,OO,SkyWest Airlines Inc.,Other Delay,44
2003,10,OO,SkyWest Airlines Inc.,On Time,568
2003,10,UA,United Air Lines Inc.,Carrier Delay,26.5
2003,10,UA,United Air Lines Inc.,Other Delay,78.5
2003,10,UA,United Air Lines Inc.,On Time,534
2003,10,US,US Airways Inc.,Carrier Delay,5.8
2003,10,US,US Airways Inc.,Other Delay,16.2
2003,10,US,US Airways Inc.,On Time,153
2003,10,WN,Southwest Airlines Co.,Carrier Delay,69.2
2003,10,WN,Southwest Airlines Co.,Other Delay,238.8
2003,10,WN,Southwest Airlines Co.,On Time,2174
2003,11,AA,American Airlines Inc.,Carrier Delay,37.25
2003,11,AA,American Airlines Inc.,Other Delay,125.75
2003,11,AA,American Airlines Inc.,On Time,421
2003,11,AS,Alaska Airlines Inc.,Carrier Delay,24.4
2003,11,AS,Alaska Airlines Inc.,Other Delay,26.6
2003,11,AS,Alaska Airlines Inc.,On Time,261
2003,11,B6,JetBlue Airways,Carrier Delay,1.48
2003,11,B6,JetBlue Airways,Other Delay,19.52
2003,11,B6,JetBlue Airways,On Time,68
2003,11,CO,Continental Air Lines Inc.,Carrier Delay,6.86
2003,11,CO,Continental Air Lines Inc.,Other Delay,48.14
2003,11,CO,Continental Air Lines Inc.,On Time,171
2003,11,DL,Delta Air Lines Inc.,Carrier Delay,24.25
2003,11,DL,Delta Air Lines Inc.,Other Delay,89.75
2003,11,DL,Delta Air Lines Inc.,On Time,332
2003,11,HA,Hawaiian Airlines Inc.,Carrier Delay,3
2003,11,HA,Hawaiian Airlines Inc.,Other Delay,0
2003,11,HA,Hawaiian Airlines Inc.,On Time,27
2003,11,HP,America West Airlines Inc.,Carrier Delay,24.44
2003,11,HP,America West Airlines Inc.,Other Delay,35.56
2003,11,HP,America West Airlines Inc.,On Time,261
2003,11,MQ,American Eagle Airlines Inc.,Carrier Delay,31.99
2003,11,MQ,American Eagle Airlines Inc.,Other Delay,34.01
2003,11,MQ,American Eagle Airlines Inc.,On Time,785
2003,11,NW,Northwest Airlines Inc.,Carrier Delay,14
2003,11,NW,Northwest Airlines Inc.,Other Delay,84
2003,11,NW,Northwest Airlines Inc.,On Time,80
2003,11,OO,SkyWest Airlines Inc.,Carrier Delay,24
2003,11,OO,SkyWest Airlines Inc.,Other Delay,16
2003,11,OO,SkyWest Airlines Inc.,On Time,580
2003,11,UA,United Air Lines Inc.,Carrier Delay,39.37
2003,11,UA,United Air Lines Inc.,Other Delay,144.63
2003,11,UA,United Air Lines Inc.,On Time,435
2003,11,US,US Airways Inc.,Carrier Delay,5.9
2003,11,US,US Airways Inc.,Other Delay,32.1
2003,11,US,US Airways Inc.,On Time,124
2003,11,WN,Southwest Airlines Co.,Carrier Delay,85.85
2003,11,WN,Southwest Airlines Co.,Other Delay,302.15
2003,11,WN,Southwest Airlines Co.,On Time,1959
2003,12,AA,American Airlines Inc.,Carrier Delay,62.18
2003,12,AA,American Airlines Inc.,Other Delay,136.82
2003,12,AA,American Airlines Inc.,On Time,411
2003,12,AS,Alaska Airlines Inc.,Carrier Delay,29.82
2003,12,AS,Alaska Airlines Inc.,Other Delay,44.18
2003,12,AS,Alaska Airlines Inc.,On Time,258
2003,12,B6,JetBlue Airways,Carrier Delay,2.03
2003,12,B6,JetBlue Airways,Other Delay,6.97
2003,12,B6,JetBlue Airways,On Time,84
2003,12,CO,Continental Air Lines Inc.,Carrier Delay,14.75
2003,12,CO,Continental Air Lines Inc.,Other Delay,39.25
2003,12,CO,Continental Air Lines Inc.,On Time,185
2003,12,DL,Delta Air Lines Inc.,Carrier Delay,31.73
2003,12,DL,Delta Air Lines Inc.,Other Delay,59.27
2003,12,DL,Delta Air Lines Inc.,On Time,364
2003,12,HA,Hawaiian Airlines Inc.,Carrier Delay,20.47
2003,12,HA,Hawaiian Airlines Inc.,Other Delay,2.53
2003,12,HA,Hawaiian Airlines Inc.,On Time,8
2003,12,HP,America West Airlines Inc.,Carrier Delay,23
2003,12,HP,America West Airlines Inc.,Other Delay,47
2003,12,HP,America West Airlines Inc.,On Time,263
2003,12,MQ,American Eagle Airlines Inc.,Carrier Delay,67.44
2003,12,MQ,American Eagle Airlines Inc.,Other Delay,93.56
2003,12,MQ,American Eagle Airlines Inc.,On Time,855
2003,12,NW,Northwest Airlines Inc.,Carrier Delay,19.99
2003,12,NW,Northwest Airlines Inc.,Other Delay,62.01
2003,12,NW,Northwest Airlines Inc.,On Time,104
2003,12,OO,SkyWest Airlines Inc.,Carrier Delay,30
2003,12,OO,SkyWest Airlines Inc.,Other Delay,51
2003,12,OO,SkyWest Airlines Inc.,On Time,545
2003,12,UA,United Air Lines Inc.,Carrier Delay,57.34
2003,12,UA,United Air Lines Inc.,Other Delay,125.66
2003,12,UA,United Air Lines Inc.,On Time,465
2003,12,US,US Airways Inc.,Carrier Delay,13.19
2003,12,US,US Airways Inc.,Other Delay,26.81
2003,12,US,US Airways Inc.,On Time,123
2003,12,WN,Southwest Airlines Co.,Carrier Delay,120.48
2003,12,WN,Southwest Airlines Co.,Other Delay,361.52
2003,12,WN,Southwest Airlines Co.,On Time,1934
2004,1,AA,American Airlines Inc.,Carrier Delay,61.26
2004,1,AA,American Airlines Inc.,Other Delay,126.74
2004,1,AA,American Airlines Inc.,On Time,397
2004,1,AS,Alaska Airlines Inc.,Carrier Delay,21.13
2004,1,AS,Alaska Airlines Inc.,Other Delay,38.87
2004,1,AS,Alaska Airlines Inc.,On Time,259
2004,1,B6,JetBlue Airways,Carrier Delay,6.21
2004,1,B6,JetBlue Airways,Other Delay,10.79
2004,1,B6,JetBlue Airways,On Time,76
2004,1,CO,Continental Air Lines Inc.,Carrier Delay,6.7
2004,1,CO,Continental Air Lines Inc.,Other Delay,44.3
2004,1,CO,Continental Air Lines Inc.,On Time,184
2004,1,DL,Delta Air Lines Inc.,Carrier Delay,27.03
2004,1,DL,Delta Air Lines Inc.,Other Delay,60.97
2004,1,DL,Delta Air Lines Inc.,On Time,344
2004,1,HA,Hawaiian Airlines Inc.,Carrier Delay,11.31
2004,1,HA,Hawaiian Airlines Inc.,Other Delay,2.69
2004,1,HA,Hawaiian Airlines Inc.,On Time,16
2004,1,HP,America West Airlines Inc.,Carrier Delay,35.34
2004,1,HP,America West Airlines Inc.,Other Delay,36.66
2004,1,HP,America West Airlines Inc.,On Time,289
2004,1,MQ,American Eagle Airlines Inc.,Carrier Delay,27.38
2004,1,MQ,American Eagle Airlines Inc.,Other Delay,44.62
2004,1,MQ,American Eagle Airlines Inc.,On Time,943
2004,1,NW,Northwest Airlines Inc.,Carrier Delay,24.15
2004,1,NW,Northwest Airlines Inc.,Other Delay,43.85
2004,1,NW,Northwest Airlines Inc.,On Time,123
2004,1,OO,SkyWest Airlines Inc.,Carrier Delay,17
2004,1,OO,SkyWest Airlines Inc.,Other Delay,21
2004,1,OO,SkyWest Airlines Inc.,On Time,615
2004,1,UA,United Air Lines Inc.,Carrier Delay,47.66
2004,1,UA,United Air Lines Inc.,Other Delay,110.34
2004,1,UA,United Air Lines Inc.,On Time,494
2004,1,US,US Airways Inc.,Carrier Delay,14.91
2004,1,US,US Airways Inc.,Other Delay,37.09
2004,1,US,US Airways Inc.,On Time,115
2004,1,WN,Southwest Airlines Co.,Carrier Delay,105.02
2004,1,WN,Southwest Airlines Co.,Other Delay,258.98
2004,1,WN,Southwest Airlines Co.,On Time,2079
2004,2,AA,American Airlines Inc.,Carrier Delay,34.18
2004,2,AA,American Airlines Inc.,Other Delay,86.82
2004,2,AA,American Airlines Inc.,On Time,421
2004,2,AS,Alaska Airlines Inc.,Carrier Delay,16.44
2004,2,AS,Alaska Airlines Inc.,Other Delay,33.56
2004,2,AS,Alaska Airlines Inc.,On Time,250
2004,2,B6,JetBlue Airways,Carrier Delay,1.15
2004,2,B6,JetBlue Airways,Other Delay,0.85
2004,2,B6,JetBlue Airways,On Time,85
2004,2,CO,Continental Air Lines Inc.,Carrier Delay,11.82
2004,2,CO,Continental Air Lines Inc.,Other Delay,30.18
2004,2,CO,Continental Air Lines Inc.,On Time,182
2004,2,DL,Delta Air Lines Inc.,Carrier Delay,24.49
2004,2,DL,Delta Air Lines Inc.,Other Delay,68.51
2004,2,DL,Delta Air Lines Inc.,On Time,309
2004,2,HA,Hawaiian Airlines Inc.,Carrier Delay,5.06
2004,2,HA,Hawaiian Airlines Inc.,Other Delay,0.94
2004,2,HA,Hawaiian Airlines Inc.,On Time,23
2004,2,HP,America West Airlines Inc.,Carrier Delay,32.66
2004,2,HP,America West Airlines Inc.,Other Delay,53.34
2004,2,HP,America West Airlines Inc.,On Time,258
2004,2,MQ,American Eagle Airlines Inc.,Carrier Delay,36.04
2004,2,MQ,American Eagle Airlines Inc.,Other Delay,58.96
2004,2,MQ,American Eagle Airlines Inc.,On Time,749
2004,2,NW,Northwest Airlines Inc.,Carrier Delay,12.66
2004,2,NW,Northwest Airlines Inc.,Other Delay,29.34
2004,2,NW,Northwest Airlines Inc.,On Time,132
2004,2,OO,SkyWest Airlines Inc.,Carrier Delay,34
2004,2,OO,SkyWest Airlines Inc.,Other Delay,26
2004,2,OO,SkyWest Airlines Inc.,On Time,537
2004,2,UA,United Air Lines Inc.,Carrier Delay,29.17
2004,2,UA,United Air Lines Inc.,Other Delay,67.83
2004,2,UA,United Air Lines Inc.,On Time,508
2004,2,US,US Airways Inc.,Carrier Delay,6.35
2004,2,US,US Airways Inc.,Other Delay,14.65
2004,2,US,US Airways Inc.,On Time,123
2004,2,WN,Southwest Airlines Co.,Carrier Delay,95.97
2004,2,WN,Southwest Airlines Co.,Other Delay,289.03
2004,2,WN,Southwest Airlines Co.,On Time,1948
2004,3,AA,American Airlines Inc.,Carrier Delay,29.77
2004,3,AA,American Airlines Inc.,Other Delay,84.23
2004,3,AA,American Airlines Inc.,On Time,497
2004,3,AS,Alaska Airlines Inc.,Carrier Delay,23.92
2004,3,AS,Alaska Airlines Inc.,Other Delay,25.08
2004,3,AS,Alaska Airlines Inc.,On Time,276
2004,3,B6,JetBlue Airways,Carrier Delay,2.4
2004,3,B6,JetBlue Airways,Other Delay,7.6
2004,3,B6,JetBlue Airways,On Time,83
2004,3,CO,Continental Air Lines Inc.,Carrier Delay,8.42
2004,3,CO,Continental Air Lines Inc.,Other Delay,30.58
2004,3,CO,Continental Air Lines Inc.,On Time,203
2004,3,DL,Delta Air Lines Inc.,Carrier Delay,13.1
2004,3,DL,Delta Air Lines Inc.,Other Delay,34.9
2004,3,DL,Delta Air Lines Inc.,On Time,386
2004,3,HA,Hawaiian Airlines Inc.,Carrier Delay,9.89
2004,3,HA,Hawaiian Airlines Inc.,Other Delay,0.11
2004,3,HA,Hawaiian Airlines Inc.,On Time,21
2004,3,HP,America West Airlines Inc.,Carrier Delay,36.51
2004,3,HP,America West Airlines Inc.,Other Delay,59.49
2004,3,HP,America West Airlines Inc.,On Time,271
2004,3,MQ,American Eagle Airlines Inc.,Carrier Delay,37.33
2004,3,MQ,American Eagle Airlines Inc.,Other Delay,70.67
2004,3,MQ,American Eagle Airlines Inc.,On Time,796
2004,3,NW,Northwest Airlines Inc.,Carrier Delay,20.48
2004,3,NW,Northwest Airlines Inc.,Other Delay,25.52
2004,3,NW,Northwest Airlines Inc.,On Time,140
2004,3,OO,SkyWest Airlines Inc.,Carrier Delay,35
2004,3,OO,SkyWest Airlines Inc.,Other Delay,27
2004,3,OO,SkyWest Airlines Inc.,On Time,571
2004,3,UA,United Air Lines Inc.,Carrier Delay,24.3
2004,3,UA,United Air Lines Inc.,Other Delay,61.7
2004,3,UA,United Air Lines Inc.,On Time,639
2004,3,US,US Airways Inc.,Carrier Delay,10.56
2004,3,US,US Airways Inc.,Other Delay,16.44
2004,3,US,US Airways Inc.,On Time,124
2004,3,WN,Southwest Airlines Co.,Carrier Delay,103.7
2004,3,WN,Southwest Airlines Co.,Other Delay,292.3
2004,3,WN,Southwest Airlines Co.,On Time,2105
2004,4,AA,American Airlines Inc.,Carrier Delay,34.92
2004,4,AA,American Airlines Inc.,Other Delay,71.08
2004,4,AA,American Airlines Inc.,On Time,509
2004,4,AS,Alaska Airlines Inc.,Carrier Delay,19.51
2004,4,AS,Alaska Airlines Inc.,Other Delay,19.49
2004,4,AS,Alaska Airlines Inc.,On Time,282
2004,4,B6,JetBlue Airways,Carrier Delay,2.53
2004,4,B6,JetBlue Airways,Other Delay,1.47
2004,4,B6,JetBlue Airways,On Time,85
2004,4,CO,Continental Air Lines Inc.,Carrier Delay,13.68
2004,4,CO,Continental Air Lines Inc.,Other Delay,53.32
2004,4,CO,Continental Air Lines Inc.,On Time,166
2004,4,DL,Delta Air Lines Inc.,Carrier Delay,16.89
2004,4,DL,Delta Air Lines Inc.,Other Delay,23.11
2004,4,DL,Delta Air Lines Inc.,On Time,375
2004,4,HA,Hawaiian Airlines Inc.,Carrier Delay,9
2004,4,HA,Hawaiian Airlines Inc.,Other Delay,1
2004,4,HA,Hawaiian Airlines Inc.,On Time,20
2004,4,HP,America West Airlines Inc.,Carrier Delay,25.74
2004,4,HP,America West Airlines Inc.,Other Delay,28.26
2004,4,HP,America West Airlines Inc.,On Time,272
2004,4,MQ,American Eagle Airlines Inc.,Carrier Delay,45.63
2004,4,MQ,American Eagle Airlines Inc.,Other Delay,69.37
2004,4,MQ,American Eagle Airlines Inc.,On Time,805
2004,4,NW,Northwest Airlines Inc.,Carrier Delay,14.74
2004,4,NW,Northwest Airlines Inc.,Other Delay,24.26
2004,4,NW,Northwest Airlines Inc.,On Time,141
2004,4,OO,SkyWest Airlines Inc.,Carrier Delay,32
2004,4,OO,SkyWest Airlines Inc.,Other Delay,23
2004,4,OO,SkyWest Airlines Inc.,On Time,551
2004,4,UA,United Air Lines Inc.,Carrier Delay,24.08
2004,4,UA,United Air Lines Inc.,Other Delay,49.92
2004,4,UA,United Air Lines Inc.,On Time,588
2004,4,US,US Airways Inc.,Carrier Delay,6.87
2004,4,US,US Airways Inc.,Other Delay,16.13
2004,4,US,US Airways Inc.,On Time,123
2004,4,WN,Southwest Airlines Co.,Carrier Delay,114.75
2004,4,WN,Southwest Airlines Co.,Other Delay,278.25
2004,4,WN,Southwest Airlines Co.,On Time,2021
2004,5,AA,American Airlines Inc.,Carrier Delay,27.66
2004,5,AA,American Airlines Inc.,Other Delay,98.34
2004,5,AA,American Airlines Inc.,On Time,509
2004,5,AS,Alaska Airlines Inc.,Carrier Delay,29.04
2004,5,AS,Alaska Airlines Inc.,Other Delay,20.96
2004,5,AS,Alaska Airlines Inc.,On Time,317
2004,5,B6,JetBlue Airways,Carrier Delay,1.87
2004,5,B6,JetBlue Airways,Other Delay,17.13
2004,5,B6,JetBlue Airways,On Time,74
2004,5,CO,Continental Air Lines Inc.,Carrier Delay,9.75
2004,5,CO,Continental Air Lines Inc.,Other Delay,48.25
2004,5,CO,Continental Air Lines Inc.,On Time,181
2004,5,DL,Delta Air Lines Inc.,Carrier Delay,16.84
2004,5,DL,Delta Air Lines Inc.,Other Delay,42.16
2004,5,DL,Delta Air Lines Inc.,On Time,368
2004,5,HA,Hawaiian Airlines Inc.,Carrier Delay,5
2004,5,HA,Hawaiian Airlines Inc.,Other Delay,0
2004,5,HA,Hawaiian Airlines Inc.,On Time,26
2004,5,HP,America West Airlines Inc.,Carrier Delay,24.05
2004,5,HP,America West Airlines Inc.,Other Delay,21.95
2004,5,HP,America West Airlines Inc.,On Time,287
2004,5,MQ,American Eagle Airlines Inc.,Carrier Delay,32.78
2004,5,MQ,American Eagle Airlines Inc.,Other Delay,38.22
2004,5,MQ,American Eagle Airlines Inc.,On Time,882
2004,5,NW,Northwest Airlines Inc.,Carrier Delay,13.6
2004,5,NW,Northwest Airlines Inc.,Other Delay,54.4
2004,5,NW,Northwest Airlines Inc.,On Time,118
2004,5,OO,SkyWest Airlines Inc.,Carrier Delay,31
2004,5,OO,SkyWest Airlines Inc.,Other Delay,15
2004,5,OO,SkyWest Airlines Inc.,On Time,607
2004,5,UA,United Air Lines Inc.,Carrier Delay,36.92
2004,5,UA,United Air Lines Inc.,Other Delay,131.08
2004,5,UA,United Air Lines Inc.,On Time,521
2004,5,US,US Airways Inc.,Carrier Delay,12.1
2004,5,US,US Airways Inc.,Other Delay,33.9
2004,5,US,US Airways Inc.,On Time,130
2004,5,WN,Southwest Airlines Co.,Carrier Delay,120.9
2004,5,WN,Southwest Airlines Co.,Other Delay,297.1
2004,5,WN,Southwest Airlines Co.,On Time,2044
2004,6,AA,American Airlines Inc.,Carrier Delay,36.77
2004,6,AA,American Airlines Inc.,Other Delay,139.23
2004,6,AA,American Airlines Inc.,On Time,448
2004,6,AS,Alaska Airlines Inc.,Carrier Delay,49.79
2004,6,AS,Alaska Airlines Inc.,Other Delay,54.21
2004,6,AS,Alaska Airlines Inc.,On Time,281
2004,6,B6,JetBlue Airways,Carrier Delay,2.62
2004,6,B6,JetBlue Airways,Other Delay,12.38
2004,6,B6,JetBlue Airways,On Time,75
2004,6,CO,Continental Air Lines Inc.,Carrier Delay,12.23
2004,6,CO,Continental Air Lines Inc.,Other Delay,80.77
2004,6,CO,Continental Air Lines Inc.,On Time,155
2004,6,DL,Delta Air Lines Inc.,Carrier Delay,30.89
2004,6,DL,Delta Air Lines Inc.,Other Delay,95.11
2004,6,DL,Delta Air Lines Inc.,On Time,292
2004,6,HA,Hawaiian Airlines Inc.,Carrier Delay,2
2004,6,HA,Hawaiian Airlines Inc.,Other Delay,0
2004,6,HA,Hawaiian Airlines Inc.,On Time,48
2004,6,HP,America West Airlines Inc.,Carrier Delay,41.02
2004,6,HP,America West Airlines Inc.,Other Delay,43.98
2004,6,HP,America West Airlines Inc.,On Time,241
2004,6,MQ,American Eagle Airlines Inc.,Carrier Delay,50.35
2004,6,MQ,American Eagle Airlines Inc.,Other Delay,55.65
2004,6,MQ,American Eagle Airlines Inc.,On Time,732
2004,6,NW,Northwest Airlines Inc.,Carrier Delay,23.05
